mode,playersCount,courts,totalMatches,presetKey,templateKey,engine,classifiable,count,effectiveCompletedCount,effectiveCompletionRate,firstScoreToCompletionSamples,medianFirstScoreToCompletionHours,share,cumulativeCount,cumulativeCoverage
multi_rotate,6,1,9,rotation_6,6p-1c,template,true,48,23,0.4791666666666667,23,0.9085380555555556,0.08775137111517367,48,0.08775137111517367
multi_rotate,5,1,10,custom,5p-1c,template,true,26,16,0.6153846153846154,16,1.0539591666666666,0.04753199268738574,74,0.13528336380255943
multi_rotate,7,1,14,rotation_7,7p-1c,template,true,25,10,0.4,10,1.7664241666666667,0.04570383912248629,99,0.1809872029250457
multi_rotate,6,1,9,custom,6p-1c,template,true,16,7,0.4375,7,1.1179075,0.029250457038391225,115,0.21023765996343693
multi_rotate,9,1,18,custom,9p-1c,template,true,16,12,0.75,12,2.1213723611111113,0.029250457038391225,131,0.23948811700182815
multi_rotate,8,1,14,rotation_8,8p-1c,template,true,13,6,0.46153846153846156,6,1.8311330555555556,0.02376599634369287,144,0.263254113345521
multi_rotate,7,1,14,custom,7p-1c,template,true,12,2,0.16666666666666666,2,1.0783140277777779,0.021937842778793418,156,0.2851919561243144
multi_rotate,5,1,5,custom,5p-1c,template,true,11,7,0.6363636363636364,7,0.45819805555555554,0.02010968921389397,167,0.3053016453382084
multi_rotate,6,1,12,rotation_6,6p-1c,template,true,11,0,0,0,,0.02010968921389397,178,0.32541133455210236
multi_rotate,9,2,18,custom,9p-2c,template,true,11,6,0.5454545454545454,6,1.4837284722222222,0.02010968921389397,189,0.34552102376599636
unknown,4,1,3,missing,missing,missing,false,11,8,0.7272727272727273,0,,0.02010968921389397,200,0.3656307129798903
multi_rotate,14,1,14,custom,14p-1c,template,true,10,2,0.2,2,0.40588541666666667,0.018281535648994516,210,0.38391224862888484
multi_rotate,4,1,3,custom,4p-1c,template,true,10,8,0.8,8,0.2576759722222222,0.018281535648994516,220,0.40219378427787933
multi_rotate,6,1,15,rotation_6,6p-1c,template,true,10,2,0.2,2,2.1910220833333334,0.018281535648994516,230,0.42047531992687387
multi_rotate,13,2,12,custom,13p-2c,template,true,9,0,0,0,,0.016453382084095063,239,0.4369287020109689
multi_rotate,8,1,14,custom,8p-1c,template,true,9,0,0,0,,0.016453382084095063,248,0.453382084095064
multi_rotate,6,1,13,custom,6p-1c,template,true,8,5,0.625,5,1.7291419444444445,0.014625228519195612,256,0.4680073126142596
multi_rotate,6,1,15,custom,6p-1c,template,true,8,1,0.125,1,2.1189430555555555,0.014625228519195612,264,0.4826325411334552
multi_rotate,6,1,18,rotation_6,6p-1c,template,true,8,2,0.25,2,2.168677361111111,0.014625228519195612,272,0.49725776965265084
multi_rotate,8,1,8,custom,8p-1c,template,true,8,3,0.375,3,1.0584202777777778,0.014625228519195612,280,0.5118829981718465
multi_rotate,10,1,23,custom,10p-1c,template,true,7,2,0.2857142857142857,2,2.2170779166666668,0.012797074954296161,287,0.5246800731261426
multi_rotate,10,1,15,custom,10p-1c,template,true,6,1,0.16666666666666666,1,2.1308230555555556,0.010968921389396709,293,0.5356489945155393
multi_rotate,12,2,12,custom,12p-2c,template,true,6,2,0.3333333333333333,2,0.8099,0.010968921389396709,299,0.546617915904936
multi_rotate,10,1,10,custom,10p-1c,template,true,5,2,0.4,2,0.021242916666666667,0.009140767824497258,304,0.5557586837294333
multi_rotate,5,1,15,custom,5p-1c,template,true,5,1,0.2,1,0.01773472222222222,0.009140767824497258,309,0.5648994515539305
multi_rotate,6,1,8,custom,6p-1c,template,true,5,1,0.2,1,0.7664561111111111,0.009140767824497258,314,0.5740402193784278
multi_rotate,6,1,8,rotation_6,6p-1c,template,true,5,2,0.4,2,0.7298034722222222,0.009140767824497258,319,0.583180987202925
multi_rotate,7,1,11,custom,7p-1c,template,true,5,3,0.6,3,3.155538611111111,0.009140767824497258,324,0.5923217550274223
multi_rotate,9,1,9,custom,9p-1c,template,true,5,0,0,0,,0.009140767824497258,329,0.6014625228519196
multi_rotate,10,2,15,custom,10p-2c,template,true,4,0,0,0,,0.007312614259597806,333,0.6087751371115173
multi_rotate,13,2,30,custom,missing,unknown,true,4,1,0.25,1,2.121732222222222,0.007312614259597806,337,0.6160877513711152
multi_rotate,4,1,1,custom,4p-1c,template,true,4,3,0.75,3,0,0.007312614259597806,341,0.623400365630713
multi_rotate,6,1,18,custom,6p-1c,template,true,4,1,0.25,1,2.6907533333333333,0.007312614259597806,345,0.6307129798903108
multi_rotate,7,1,10,rotation_7,7p-1c,template,true,4,1,0.25,1,1.6346744444444445,0.007312614259597806,349,0.6380255941499086
multi_rotate,7,1,16,custom,7p-1c,template,true,4,3,0.75,3,2.175915,0.007312614259597806,353,0.6453382084095064
multi_rotate,7,1,21,rotation_7,7p-1c,template,true,4,0,0,0,,0.007312614259597806,357,0.6526508226691042
multi_rotate,8,2,14,rotation_8,8p-2c,template,true,4,1,0.25,1,1.1331527777777777,0.007312614259597806,361,0.659963436928702
multi_rotate,12,2,24,custom,missing,unknown,true,3,0,0,0,,0.005484460694698354,364,0.6654478976234004
